Location_Name,Name,Address,City,County,State_Province,Zip Code,Phone,Category,Category 1,Category 2,Category 3,Category 4,Latitude,Longitude,Email Address,Web Site,Facebook,Instagram
Adrenaline Cycles,,"600 S Laurel Rd, London, KY 40744",London,Laurel,KY,40744,(606) 258-0005,Shopping/Retail,14.5,,,,37.17884745,-84.07009588,,,,
Apron Strings Quilt Shop,,113 W 2nd St,Maysville ,Mason,KY,41056,(606) 584-7414,Shopping/Retail,14.5,14.3,,,38.84999,-83.76692,,https://www.apronstringsquiltshop.com/,https://www.facebook.com/ApronStringsQuiltShop/,
Back Porch Smokehouse,," 1797 Lake Linville Rd, Mt Vernon, KY 40456",Mt. Vernon,Rockcastle,KY,40456,(606) 256-8504,Dining,3.4,,,,37.40154689,-84.34936375,,,,
BeezBerries,,"306 Goldenhead Dr, Berea, KY 40403",Berea,Madison,KY,40475,(859) 893-4160,Grocery and Gas,13.1,,,,37.58106934,-84.2602473,,https://www.shopbeezberries.com/contact-us,,
Bell County Historical Society,,,Middlesboro,Bell,KY,,(606) 242-0005,Cultural,9.3,,,,36.60946311,-83.71458991,,https://www.kentuckytourism.com/middlesboro/attractions/museums/bell-county-historical-society-museum,www.bellcountyhistorical.com,
Berea College Farm Store,,"311 N Main St, Berea, KY 40403",Berea,Madison,KY,40475,(859) 985-3685,Grocery and Gas,13.4,,,,37.57591005,-84.28984263,,http://www.bereacollegefarmstore.com/,,
Berea Skate Park,,"400 N Broadway, Berea, KY 40403",Berea,Madison,KY,40403,(859) 986-9402,Parks,12.2,,,,37.57476403,-84.29834526,,http://bereaky.gov/government/city-departments/parks-recreation/,,
Berea Tourism / Welcome Center,,"3 Artist Cir, Berea, KY 40403",Berea,Madison,KY,40403,(859)986-2540,Information,15.1,,,,37.57152355,-84.29967665,,https://visitberea.com/,,
BitterSweet Cabin Village Museum & Gift Shop,,PO Box 1467,Mt Vernon,Rockcastle,KY,40456,(606) 256-9814,Cultural,9.3,14.3,,,37.38685157,-84.33105936,,http://bittersweetcabinvillage.com/,,
Blue Licks Battlefield State Resort Park,Erik Unthank,10299 Maysville Rd,Carlisle,Robertson ,KY,40311,859-289-5507,Spirits/Beverage,6.1,,,,38.43457485,-83.99148834,Erik.unthank@ky.gov,https://parks.ky.gov/carlisle/parks/historic/blue-licks-battlefield-state-resort-park,https://www.facebook.com/BLSRP1782,https://www.instagram.com/blsrp1782/
