Name,Address,City,County,State,Zip Code,Phone,Latitude,Longitude,Category 1,Category 2,Category 3,Category 4,Yelp,TripAdvisor
Hillside Market & Hardware,83 Brown Hill School Rd,Frakes,Bell,KY,40940,(606) 337-2768,36.629364,-83.946607,14.50,,,,https://www.yelp.com/biz/hillside-market-and-hardware-frakes,
Alexander Arthur Musuem,2215 W Cumberland Ave,Middlesboro,Bell,KY,40965,(606) 248-2482,36.606853,-83.718177,1.30,9.30,15.10,,https://www.yelp.com/biz/alexander-arthur-museum-middlesboro,https://www.tripadvisor.com/Attraction_Review-g60782-d10129798-Reviews-Alexander_Arthur_Museum-Middlesboro_Kentucky.html
Arby's,909 N 12th St,Middlesboro,Bell,KY,40965,(606) 248-8616,36.376722,-83.421469,3.10,,,,https://www.yelp.com/biz/arbys-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d9729109-Reviews-Arby_s-Middlesboro_Kentucky.html
Bell County Historical Society,207 N 20th St,Middlesboro,Bell,KY,40965,(606) 242-0005,36.609463,-83.714590,1.30,15.10,,,https://www.yelp.com/biz/bell-county-historical-society-museum-middlesboro,https://www.tripadvisor.com/Attraction_Review-g60782-d7001887-Reviews-Bell_County_Historical_Society-Middlesboro_Kentucky.html
Bell County Tourism Commission,2215 W Cumberland Ave,Middlesboro,Bell,KY,40965,(606) 248-2482,36.606922,-83.717854,15.10,,,,https://www.yelp.com/biz/bell-county-tourism-commission-middlesboro,
Boone Trail Inn,US25 East North,Middlesboro,Bell,KY,40965,(606) 248-1340,36.632615,-83.703886,2.30,,,,https://www.yelp.com/biz/boone-trail-motel-middlesboro,https://www.tripadvisor.com/Hotel_Review-g60782-d1099533-Reviews-Boone_Trail_Inn-Middlesboro_Kentucky.html
Burger King ,230 N 12th St,Middlesboro,Bell,KY,40965,(606) 248-5002,36.610600,-83.701600,3.10,,,,https://www.yelp.com/biz/burger-king-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d4651629-Reviews-Burger_King-Middlesboro_Kentucky.html
Circle K,1405 Cumberland Ave,Middlesboro,Bell,KY,40965,(606) 242-3930,36.607600,-83.705500,13.20,,,,https://www.yelp.com/biz/circle-k-middlesboro,
Conley's Drive-In Restaurant,1693 Cumberland Ave,Middlesboro,Bell,KY,40965,(606) 248-1741,36.607337,-83.709277,3.20,3.40,3.50,,https://www.yelp.com/biz/conleys-drive-in-restaurants-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d5305757-Reviews-Conley_s_Drive_In_Restaurants-Middlesboro_Kentucky.html
Cracker Barrel Old Country Store,North 12th St,Middlesboro,Bell,KY,40965,(606) 248-7011,36.619300,-83.704200,3.40,3.50,14.30,,https://www.yelp.com/biz/cracker-barrel-old-country-store-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d5013657-Reviews-Cracker_Barrel-Middlesboro_Kentucky.html
Cumberland Gap National Historical Park,91 Bartlett Park Rd,Middlesboro,Bell,KY,40965,(606) 248-2817,36.632393,-83.622209,1.30,11.10,12.20,,https://www.yelp.com/biz/cumberland-gap-national-historic-park-middlesboro,https://www.tripadvisor.com/Attraction_Review-g60782-d264839-Reviews-Cumberland_Gap_National_Historical_Park-Middlesboro_Kentucky.html
Cumberland Manor Bed and Breakfast,208 Arthur Heights,Middlesboro,Bell,KY,40965,(606) 248-4299,36.610059,-83.716743,2.10,,,,https://www.yelp.com/biz/cumberland-manor-bed-and-breakfast-middlesboro,https://www.tripadvisor.com/Hotel_Review-g60782-d780693-Reviews-The_Cumberland_Manor_B_B-Middlesboro_Kentucky.html
Dairy Queen,100 N 25th St,Middlesboro,Bell,KY,40965,(606) 248-5000,36.608700,-83.700800,3.10,5.20,,,https://www.yelp.com/biz/dairy-queen-grill-and-chill-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d4644828-Reviews-Dairy_Queen_Grill_Chill-Middlesboro_Kentucky.html
Dominion Outdoors Kentucky,1014 N 12th St,Middlesboro,Bell,KY,40977,(606) 896-8085,36.756709,-83.681705,4.20,14.50,,,https://www.yelp.com/biz/dominion-outdoors-middlesboro,
Domino's Pizza,1873 N 25th St,Middlesboro,Bell,KY,40965,(606) 248-5086,36.613022,-83.702042,3.10,3.50,,,https://www.yelp.com/biz/dominos-pizza-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d21201155-Reviews-Domino_s_Pizza-Middlesboro_Kentucky.html
Econo Lodge,1623 Cumberland Ave,Middlesboro,Bell,KY,40965,(877) 787-1313,36.607009,-83.708004,1.20,,,,,https://www.tripadvisor.com/Hotel_Review-g60782-d78153-Reviews-Econo_Lodge-Middlesboro_Kentucky.html
El Mariachi Mexican Grill,1055 12th St,Middlesboro,Bell,KY,40965,(606) 246-1860,36.620300,-83.704500,3.40,3.50,,,https://www.yelp.com/biz/el-mariachi-mexican-grill-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d7607671-Reviews-El_Mariachi_Mexican_Grill-Middlesboro_Kentucky.html
Food City Store,98 N 12th St,Middlesboro,Bell,KY,40965,(606) 248-0987,36.609300,-83.699300,13.10,13.30,,,https://www.yelp.com/biz/food-city-middlesboro,
Hardee's,1310 N 12th St,Middlesboro,Bell,KY,40965,(606) 248-3836,36.623600,-83.703700,3.10,,,,https://www.yelp.com/biz/hardees-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d4978867-Reviews-Hardee_s-Middlesboro_Kentucky.html
Hensley Settlement,91 Bartlett Park Rd,Middlesboro,Bell,KY,40965,(606) 248-2817,36.606945,-83.673273,1.30,9.30,12.20,,,https://www.tripadvisor.com/ShowUserReviews-g60782-d264839-r375404497-Cumberland_Gap_National_Historical_Park-Middlesboro_Kentucky.html
Holiday Inn Express,1252 N 12th St,Middlesboro,Bell,KY,40965,(606) 248-6860,36.634674,-83.700623,2.20,,,,https://www.yelp.com/biz/holiday-inn-express-middlesboro-middlesboro-2,https://www.tripadvisor.com/Hotel_Review-g60782-d92450-Reviews-Holiday_Inn_Express_Middlesboro_an_IHG_Hotel-Middlesboro_Kentucky.html
King Donuts,1849 N 25th St,Middlesboro,Bell,KY,40965,(606) 896-8054,36.616406,-83.721716,3.20,,,,https://www.yelp.com/biz/king-donuts-middlesboro,
Kings Buffet ,1861 N 25th St,Middlesboro,Bell,KY,40965,(606) 248-7666,36.623600,-83.705600,3.20,3.40,3.50,,https://www.yelp.com/biz/king-buffet-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d8754975-Reviews-King_Buffet-Middlesboro_Kentucky.html
Kroger,515 N 12th St,Middlesboro,Bell,KY,40965,(606) 248-3410,36.613800,-83.704900,13.10,14.20,,,https://www.yelp.com/biz/kroger-middlesboro,
Krystal,1225 N 12th St,Middlesboro,Bell,KY,40965,(606) 248-7086,36.621100,-83.704600,3.10,,,,https://www.yelp.com/biz/krystal-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d4660322-Reviews-Krystal-Middlesboro_Kentucky.html
La Esperanza,471 N 12th St,Middlesboro,Bell,KY,40965,(606) 248-9252,36.761517,-83.696160,3.40,3.50,,,https://www.yelp.com/biz/la-esperanza-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d3361674-Reviews-La_Esperanza-Middlesboro_Kentucky.html
Lee's Famous Recipe Chicken ,N 12th St & US Highway 25 E,Middlesboro,Bell,KY,40965,(606) 248-8773,36.613022,-83.702042,3.10,,,,https://www.yelp.com/biz/lees-famous-recipe-chicken-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d4917840-Reviews-Lee_s_Famous_Recipe_of_Middlesboro-Middlesboro_Kentucky.html
Little Caesars Pizza,3705 W Cumberland Ave,Middlesboro,Bell,KY,40965,(606) 302-4254,36.605000,-83.741300,3.10,3.50,,,https://www.yelp.com/biz/little-caesars-middlesboro,
Long John Silver's,303 N 12th St,Middlesboro,Bell,KY,40977,(606) 248-5065,36.612715,-83.702851,3.10,,,,https://www.yelp.com/biz/long-john-silvers-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d5083197-Reviews-Long_John_Silver_s_7059-Middlesboro_Kentucky.html
McDonald's,3615 Cumberland Ave,Middlesboro,Bell,KY,40965,(606) 248-5945,36.604767,-83.740490,3.10,,,,https://www.yelp.com/biz/mcdonalds-middlesboro-4,https://www.tripadvisor.com/Restaurant_Review-g60782-d4614805-Reviews-McDonald_s-Middlesboro_Kentucky.html
Middlesboro Mall,905 N 12th St #25,Middlesboro,Bell,KY,40965,(606) 248-0397,36.619490,-83.705578,14.20,,,,https://www.yelp.com/biz/middlesboro-mall-management-office-middlesboro,https://www.tripadvisor.com/Attraction_Review-g60782-d7001889-Reviews-Middlesboro_Mall-Middlesboro_Kentucky.html
Midnight Market,601 Winchester Ave,Middlesboro,Bell,KY,40965,(606) 248-6950,36.604000,-83.721900,13.10,13.20,,,https://www.yelp.com/biz/midnight-market-middlesboro,
Murphy USA,2794 Us Highway 25 E,Middlesboro,Bell,KY,40965,(606) 242-3693,36.622351,-83.719991,13.20,,,,,
