Location_Name,County,Operator,Type,Address,City,State_province,Zip,Country_ISO3166_alpha2,Latitude,Longitude,Phone,URL,Languages,Devices_available,Accessibility,Clients,Public
The Barr House Inn,Bourbon,,,"1200 Cypress Street Paris, KY 40361",,,,US,38.20843075,-84.25811325,(859) 537-1990,,,,,,
Fairfield Farm Cottage,Bourbon,,,"500 Cynthiana Rd, Paris, KY 40361",,,,US,38.24788409,-84.27479379,(859) 707-5575,,,,,,
The Guesthouse at Rosecrest Farm,Bourbon,,,"1276 Winchester Rd, Paris, KY 40361",,,,US,38.16552399,-84.22941219,(859) 987-7500,,,,,,
The Rock Café,Bourbon,,,"3960 Lexington Rd Paris, KY 40361",,,,US,38.19400648,-84.27677053,(859) 987-5661,,,,,,
Trackside Restaurant & Bourbon Bar LLC,Bourbon,,,"134 E 10th St, Paris, KY 40361",,,,US,38.20701829,-84.25153766,(859) 340-3010,,,,,,
Craig's Downtown,Bourbon,,,"2 Bank Row St, Paris, KY 40361",,,,US,38.21361515,-84.24913363,(859) 707-3835,,,,,,
Central Kentucky Kayaking,Bourbon,,,"394 Stoner Ave, Paris, KY 40361",,,,US,38.2096231,-84.24223602,(859) 457-0388,,,,,,
Duncan Tavern Historic Center,Bourbon,,,"323 High St, Paris, KY 40361",,,,US,38.21299905,-84.25062262,(859) 987-1788,,,,,,
The Cane Ridge Meeting House,Bourbon,,,"1655 Cane Ridge Rd, Paris, KY 40361",,,,US,38.21274437,-84.11926745,(859) 987-5350,,,,,,
Nannine Clay Wallis Arboretum,Bourbon,,,"616 Pleasant St, Paris, KY 40361",,,,US,38.20969825,-84.24941177,859-707-8509,,,,,,
Bourbon Drive-In Theater,Bourbon,,,"Jackstown Rd, Paris, KY 40361",,,,US,38.23141431,-84.22367473,(859) 987-2935,,,,,,
Clover Hill Farm,Bourbon,,,"985 Millersburg Rd, Paris, KY 40361",,,,US,38.23842724,-84.22409792,(859) 444-5737,,,,,,
Claiborne Farms,Bourbon,,,"703 Winchester Rd, Paris, KY 40361",,,,US,38.19120733,-84.24587295,(859) 233-4252,,,,,,
Runnymede Farms,Bourbon,,,"600 Cynthiana Rd, Paris, KY 40361",,,,US,38.24792492,-84.28723568,(859) 987-3426,,,,,,
Hartfield & Co. Distilleries,Bourbon,,,"320 Pleasant St #1819, Paris, KY 40361",,,,US,38.21213302,-84.24880755,(859) 474-0345,,,,,,
Circle K,Bourbon,,,"100 Lacy Ln Paris, KY 40361",,,,US,38.19296164,-84.27630833,(859) 987-8511,,,,,,
Speedway,Bourbon,,,"1559 Main St Paris, KY 40361",,,,US,38.20248821,-84.26204176,(859) 987-0700,,,,,,
Paris BP Service Stations,Bourbon,,,"1602 Main St Paris, KY 40361",,,,US,38.21894242,-84.27532425,(859) 987-8484,,,,,,
Peg's Pantry,Bourbon,,,"241 Bethlehem Rd, Paris, KY 40361",,,,US,38.19079573,-84.27540096,(859) 749-1755,,,,,,
Michael Food Mart,Bourbon,,,"200 W 8th St, Paris, KY 40361",,,,US,38.21086347,-84.25502008,(859) 988-1002,,,,,,
Paris-Bourbon County Farmers Market,Bourbon,,,"720 High St, Paris, KY 40361",,,,US,38.21011478,-84.25274199,(859) 987-6614,,,,,,
Blue Licks Battlefield State Resort Park,Nicholas,,,"10299 Maysville Rd, Carlisle, KY 40311",,,,US,38.43457485,-83.99148834,(859) 289-5507,,,,,,
North Central 4-H Center,Nicholas,,,"260 Camp Dr, Carlisle, KY 40311",,,,US,38.34293529,-84.03032174,(859) 289-5308,,,,,,
Cedar Hill Retreat,Nicholas,,,"3416 Crooked Creek Rd, Carlisle, KY 40311",,,,US,38.42134947,-84.1049359,(859) 289-2832,,,,,,
Ladobee's Steakhouse,Nicholas,,,"4933 Maysville Rd, Carlisle, KY 40311",,,,US,38.34952211,-84.04683987,(859) 289-4800,,,,,,
Track's,Nicholas,,,"5322 Concrete Rd, Carlisle, KY 40311",,,,US,38.31316867,-84.03799704,(859) 289-5464,,,,,,
Dicks on Main,Nicholas,,,"118 E Main St, Carlisle, KY 40311",,,,US,38.31227113,-84.02832605,(859) 289-7582,,,,,,
Hidden Water's Restaurant,Nicholas,,,"10299 Maysville Rd, Carlisle, KY 40311",,,,US,38.4320094,-83.99578914,(859) 289-5507,,,,,,
Herbal Stuff Shop,Nicholas,,,"249 Lower Concord Rd, Carlisle, KY 40311",,,,US,38.31202318,-84.02789127,(859) 289-3003,,,,,,
More Than Hardware,Nicholas,,,"106 E Market S, Carlisle, KY 40311",,,,US,38.31133989,-84.02853063,(859) 289- 3377,,,,,,
The Carlisle Shop,Nicholas,,,"215 N Broadway St, Carlisle, KY 40311",,,,US,38.31226191,-84.02746134,(859) 405-6045,,,,,,
Eagle's Cycle,Nicholas,,,"1423 Concrete Rd, Carlisle, KY 40311",,,,US,38.31749281,-84.06359943,(859) 289-2991,,,,,,
Pioneer Museum,Nicholas,,,"10299 Maysville Rd, Carlisle, KY 40311",,,,US,38.43457485,-83.99148834,(859) 289-5507,,,,,,
Daniel Boone Cabin,Nicholas,,,"3750 Maysville Rd, Carlisle, KY 40311",,,,US,38.33090458,-84.06297986,(812) 555-6696,,,,,,
Fountain Young Cabin,Nicholas,,,"4th Ln, Carlisle, KY 40311",,,,US,38.34442795,-84.02847527,NA,,,,,,
Lake Carnico,Nicholas,,,"N Lakeshore Dr, Carlisle, KY 40311",,,,US,38.34711328,-84.04098144,(859) 289-5243,,,,,,
Kentucky Doll & Toy Museum,Nicholas,,,"106 West Main Street, Carlisle, KY 40311",,,,US,38.31236397,-84.02914427,(859) 289-3344,,,,,,
Clay Wildlife Management Area,Nicholas,,,"1449 Cassidy Creek Rd, Carlisle, KY 40311",,,,US,38.34109335,-83.91921272,(859) 289-8564,,,,,,
Shell,Nicholas,,,"2750 Concrete Rd, Carlisle, KY 40311",,,,US,38.31139503,-84.04484664,(859) 289-5889,,,,,,
Marathon Gas,Nicholas,,,"1135 Main St, Carlisle, KY 40311",,,,US,38.31332925,-84.03735476,(859) 484-3721,,,,,,
